station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2,2000,1,1,69,68,68,68,68,68,69,73,76,80,82,84,85,85,86,86,86,85,83,80,77,74,71,72
2,2000,1,2,72,69,64,65,63,65,66,71,75,75,77,79,80,80,78,79,79,78,76,73,72,71,69,69
2,2000,1,3,67,66,66,65,63,63,65,69,73,77,79,81,80,75,69,72,74,75,74,72,72,71,70,69
2,2000,1,4,69,67,67,68,68,69,69,71,74,76,80,81,83,85,85,84,83,82,81,77,75,74,74,74
2,2000,1,5,73,71,70,69,69,69,69,71,73,74,78,79,76,77,77,75,72,71,69,67,66,65,63,63
2,2000,1,6,62,63,62,62,63,63,63,62,63,64,65,66,67,67,68,69,68,67,65,63,63,62,61,61
2,2000,1,7,62,62,62,63,63,63,64,65,69,72,74,75,79,80,82,80,82,76,73,72,69,67,67,65
2,2000,1,8,65,65,65,67,68,66,68,69,75,79,82,83,83,87,88,89,89,89,87,83,78,77,74,74
2,2000,1,9,74,72,71,72,72,72,74,77,80,83,85,87,89,91,91,91,91,89,87,83,80,80,79,78
2,2000,1,10,79,78,76,74,73,73,74,76,79,80,83,86,88,89,89,89,89,88,87,84,82,80,79,79
2,2000,1,11,79,77,76,76,72,72,73,75,76,77,80,82,83,83,82,82,82,81,79,76,75,72,68,67
2,2000,1,12,67,67,66,66,66,65,67,68,69,70,73,77,77,77,79,78,77,74,69,67,67,67,66,66
2,2000,1,13,67,67,68,68,68,69,68,69,69,70,69,71,73,74,77,77,75,71,70,68,67,67,67,67
2,2000,1,14,68,69,69,69,69,70,69,70,71,73,73,76,77,78,79,80,80,78,78,76,73,72,71,70
2,2000,1,15,69,67,66,64,62,61,60,62,64,64,66,67,69,70,72,73,72,72,70,68,64,58,55,56
2,2000,1,16,55,56,56,54,54,55,58,61,65,68,69,71,71,71,73,71,71,69,69,68,67,65,65,65
2,2000,1,17,65,64,65,65,65,65,65,66,66,66,66,66,67,66,68,69,72,72,72,68,66,65,65,64
2,2000,1,18,64,63,63,63,63,63,63,65,67,70,74,76,78,78,81,80,77,68,69,66,65,62,62,60
2,2000,1,19,61,61,62,60,61,61,64,65,66,71,76,78,80,81,82,82,78,78,77,76,70,68,67,66
2,2000,1,20,64,63,63,62,63,64,64,68,70,72,74,76,77,78,78,77,78,78,77,72,69,67,66,63
2,2000,1,21,64,62,62,60,62,63,65,65,69,69,70,70,69,68,66,65,66,66,65,64,63,64,64,64
2,2000,1,22,64,63,63,62,62,63,62,63,64,64,65,65,66,66,66,66,67,66,65,64,64,64,64,64
2,2000,1,23,64,64,64,64,64,64,63,63,62,63,62,64,66,64,64,65,65,65,65,65,62,61,60,60
2,2000,1,24,60,59,59,60,59,60,61,61,64,66,71,73,75,76,77,77,77,76,74,71,69,67,65,65
2,2000,1,25,63,63,61,60,60,59,61,65,71,75,78,80,82,82,83,82,81,79,79,76,73,71,68,67
2,2000,1,26,67,66,67,67,67,68,70,74,78,82,84,86,87,89,91,92,91,89,87,85,80,80,77,77
2,2000,1,27,76,76,76,76,74,73,74,77,80,83,85,87,88,89,88,89,89,84,82,78,73,71,71,71
2,2000,1,28,70,69,68,67,65,65,64,64,62,63,62,63,62,61,61,60,60,60,60,60,59,57,57,56
2,2000,1,29,57,56,57,56,55,55,56,61,66,69,70,71,73,73,74,74,72,71,68,65,62,58,58,58
2,2000,1,30,58,56,54,53,53,53,56,62,67,70,71,71,71,70,71,70,69,69,68,67,67,67,67,67
2,2000,1,31,67,67,69,69,69,70,72,71,74,77,79,79,82,83,83,81,82,81,79,77,76,75,74,73
3,2000,1,1,69,66,66,65,65,64,66,69,72,77,80,82,85,85,87,86,84,85,82,79,75,74,73,70
3,2000,1,2,65,63,63,64,64,63,64,66,68,68,70,73,78,79,80,79,81,78,76,74,72,71,69,66
3,2000,1,3,64,64,63,64,63,62,64,66,68,70,75,79,81,82,81,81,81,80,75,70,69,66,65,65
3,2000,1,4,64,64,64,63,64,64,65,65,69,73,78,79,81,82,84,82,73,71,69,68,66,66,66,66
3,2000,1,5,65,66,65,66,64,65,65,67,69,71,72,73,76,75,76,75,74,76,73,72,70,70,69,68
3,2000,1,6,68,68,69,67,67,67,67,67,67,67,67,68,70,71,72,73,73,73,73,73,72,70,68,67
3,2000,1,7,67,66,67,68,68,68,68,68,70,72,75,79,82,81,83,86,83,81,79,77,74,74,71,69
3,2000,1,8,68,66,66,64,63,63,63,68,71,76,77,81,82,86,88,88,88,88,86,82,80,74,73,74
3,2000,1,9,74,72,72,73,73,72,72,75,79,81,83,87,87,90,90,90,90,84,82,81,78,78,76,75
3,2000,1,10,75,73,73,72,71,70,70,72,76,80,83,85,86,87,86,88,88,87,85,82,81,79,79,76
3,2000,1,11,74,73,71,71,73,74,73,73,77,80,83,85,86,88,88,86,88,88,82,76,70,70,69,67
3,2000,1,12,66,66,67,67,68,68,69,69,73,79,81,82,81,82,82,82,80,78,74,71,69,68,66,66
3,2000,1,13,67,66,64,64,65,65,65,66,68,72,76,78,79,81,81,82,82,82,81,79,75,73,72,71
3,2000,1,14,69,70,69,68,66,66,66,66,68,69,70,72,74,77,79,78,79,79,70,68,66,66,65,64
3,2000,1,15,62,62,60,59,56,56,57,59,60,63,64,67,68,70,72,73,73,72,72,68,61,58,56,58
3,2000,1,16,59,58,60,58,60,60,61,62,62,63,64,66,67,69,68,68,68,68,67,67,66,65,65,66
3,2000,1,17,65,65,64,64,65,66,66,67,68,68,70,72,75,78,80,79,80,78,78,76,73,68,68,63
3,2000,1,18,62,61,61,59,60,58,62,68,72,75,77,77,79,80,73,74,78,80,80,76,67,69,69,68
3,2000,1,19,64,65,62,58,64,63,65,68,71,74,76,79,81,81,80,82,82,82,80,77,68,65,64,68
3,2000,1,20,69,66,68,65,61,60,61,67,72,75,77,78,80,80,80,81,80,79,77,74,69,65,64,63
3,2000,1,21,63,62,63,61,62,62,63,63,63,64,64,64,64,64,63,64,63,63,63,63,63,62,62,61
3,2000,1,22,61,62,61,61,60,60,60,59,59,58,58,60,60,60,61,61,61,61,60,60,60,60,60,59
3,2000,1,23,58,57,56,55,54,54,56,59,63,64,67,69,69,71,72,73,73,72,71,70,68,66,65,65
3,2000,1,24,63,63,63,63,63,63,63,65,67,69,71,74,76,78,79,78,79,79,77,74,70,66,65,64
3,2000,1,25,63,63,63,62,62,62,64,66,69,73,78,81,81,83,84,85,85,83,83,80,74,73,72,70
3,2000,1,26,69,70,71,70,68,68,70,73,78,82,86,87,88,89,90,89,90,88,86,83,81,79,79,76
3,2000,1,27,74,72,72,69,69,69,70,74,80,83,85,86,87,88,87,81,81,77,75,74,73,73,72,72
3,2000,1,28,72,72,72,72,71,72,72,73,74,75,76,79,78,78,76,72,69,67,66,65,65,64,63,61
3,2000,1,29,61,61,61,60,60,58,60,61,63,65,68,70,72,73,74,75,75,74,73,71,69,68,66,66
3,2000,1,30,64,63,64,63,62,62,63,63,62,64,65,68,69,71,71,72,72,72,71,70,70,70,70,69
3,2000,1,31,68,68,69,69,69,70,70,70,71,74,77,79,81,80,82,82,82,81,82,80,78,78,75,74
